text,rating,date
"The shoes are nice but my son doesn’t have a “wide foot” yet these are still very slim and hard to get on even after loosening the shoe strings. He did eventually get them on and they didn’t hurt once on. Otherwise, nice shoe.",4,2021/10/20
I really like these shoes they are lite and look great. I wear a 10.5 and ordered a 11 glad I did they fit exact so order a 1/2 size up if you buy them.,5,2022/05/22
"Muy cómodas, excelente la calidad y la entrega a tiempo a Antofagasta-Chile.",5,2022/07/27
Very nice,5,2022/08/18
I love the shoes but unfortunately for me the stated size was inadequate . Too small the toe box was cramped and I was unable to use the pair of these wonderful shoes .,3,2022/05/09
Very thin not sure if they are authentic.. but new and clean,2,2022/11/30
"The fit is too tight. AND, it looked like a knockoff ! I wear an 11 1/2 and I ordered a 12. The fit was still too tight. Be nice if it came in a D. I gave them to my son who has slightly smaller feet and they fit him just fine. This is the second pair that was too tight. I will not buy any more Nikes' on lione.",3,2022/01/18
Playing,5,2022/07/30
"My kid needed a basketball shoe but found this one very hard to pull on and off. He liked the styling but we ended up returning it because it seems like it runs small even though we got a size bigger than normal. Bonus, the local Dunhams had basketball shoes for half the price of this one.",3,2021/12/25
I need to exchange for another Michael Jordan’s shoes,3,2022/05/02
"Excelentes tenis, son originales, yo soy en nike 11.5 y me quedaron perfectas, excelente compra",5,2022/04/20
Shoes look like cheap plastic. For $150 bucks paid I believe these are cheap knockoffs,3,2022/02/21
"Not leather, I believe these are knock offs.",3,2022/02/12
"Though I like the shoe but the with was way too tight for a US size 11"". Truth be told can't just wear it I will be giving it to my younger brother.",3,2021/11/02
"Decepción, no son originales y en ningún lugar vi que no lo fueran. Hasta que los recibí me di cuenta y creo que por unos cuantos dolares más, hubiera valido la pena pagar unos originales. Ya revisé en la tienda nike.",1,2022/11/18
Just good shoes,5,2022/04/18
very good,5,2022/04/21
These are the most comfortable and well fitting shoes I’ve had in a long time. The colors are super vibrate and they last for a long time. 10/10 will recommend,5,2021/10/25
Shoes looked great and were in perfect condition,5,2022/02/12
This product fit awkward across the toes and not that comfortable.,2,2022/08/03
"These shoes are really slim and form fitting. After one hour of use, my feet were throbbing. I am going to dump these shoes and go with a different brand. No arch support or heal support whatsoever. Never buying Nike basketball shoes again.",1,2022/10/20
Nothing,5,2022/03/17
"Love the shoes! They did fit a bit tight at first, but after wearing for a few occasions they fit better. 🔥🔥🔥",5,2021/11/12
"The shoe is extremely narrow. I have to return it. I have narrow feet, and I can't even get my foot in it.",2,2022/06/08
I like the comfort in the tennis shoe,5,2022/01/06
Very satisfied.,5,2022/02/14
Pretty sure these are fakes you guys. Feel cheap. Say “Jumpman” on tongue. Box looks cheap and weird,1,2022/11/30
I love it,5,2022/01/05
Súper!!,5,2022/01/12
Great,5,2021/12/19
Chéveres,5,2021/12/12
"Shoes came in an unmarked box by themselves. not a Jordan feel, not a Air Max look, strictly Fugazi.",1,2022/10/15
fastshipping and fit size,5,2021/11/03
Nothing to dislike. These shoes are awesome.,5,2021/09/18
Big disappointment the Air Jordans were fugazi's I kicked them to the curve I wouldn't even walk on the court with those sneakers.,1,2022/09/05
Demasiado pequeño y esperaba que fuera más mejor y original,2,2022/02/19
Fake!!!!!!,1,2022/09/24
I wasn't happy .,1,2022/09/11
if you want a pair of jumpmans not jordans you found your shoe!,1,2022/08/08
Esta muy angosto de los lados. La cálida está buena pero están apretados,2,2021/10/16
I couldn't wear them cause they were to small at the top too narrow,1,2022/05/08
"the sneakers were excellent. but i was sent size 11 instead of size 8
when i re ordered the size 8, i was charged $60 more.
that is neither good or ethical.",1,2021/12/27
"Item came opened, had rubber bands on the box and did not say air on them. Not certain they are real. Should have gone to a store.",1,2022/02/21
"Not worth 172.00. Tbh, they're not worth 50.00",1,2022/04/27
Fake fake fake fake,1,2022/05/08
,1,2022/05/11
Terrible shoe,1,2022/04/28
Did not come in original packaging and doesn’t look authentic.,1,2022/01/11
Size too small,1,2021/10/27
