,output
574,0
461,0
456,0
967,1
700,0
472,0
776,1
435,0
918,1
87,0
1254,1
513,0
989,1
588,0
920,1
160,0
95,0
929,1
1058,1
1127,1
782,1
806,1
367,0
445,0
1262,1
682,0
373,0
395,0
10,0
286,0
877,1
565,0
671,0
304,0
1272,1
158,0
52,0
1110,1
16,0
80,0
1295,1
1035,1
1097,1
662,0
569,0
147,0
894,1
12,0
1356,1
1331,1
202,0
376,0
1153,1
452,0
360,0
79,0
221,0
1250,1
841,1
1337,1
867,1
964,1
694,0
647,0
655,0
1345,1
1304,1
1310,1
450,0
1253,1
951,1
676,0
1051,1
829,1
1141,1
240,0
1320,1
1178,1
454,0
669,0
1289,1
41,0
1358,1
772,1
340,0
555,0
893,1
1043,1
414,0
319,0
1300,1
425,0
738,0
617,0
363,0
1298,1
1156,1
82,0
1231,1
1004,1
173,0
784,1
424,0
65,0
681,0
1057,1
843,1
494,0
800,1
190,0
1123,1
610,0
489,0
869,1
270,0
558,0
925,1
974,1
737,0
1152,1
716,0
488,0
554,0
1230,1
18,0
180,0
605,0
771,1
1017,1
7,0
1247,1
1283,1
629,0
661,0
539,0
666,0
1328,1
1012,1
904,1
1029,1
1085,1
961,1
1155,1
358,0
787,1
769,1
1350,1
616,0
214,0
653,0
759,0
1213,1
792,1
753,0
1019,1
274,0
365,0
1003,1
1150,1
1332,1
387,0
1,0
58,0
594,0
833,1
816,1
44,0
1319,1
857,1
803,1
1329,1
1020,1
1276,1
976,1
383,0
988,1
144,0
256,0
262,0
331,0
975,1
1138,1
379,0
756,0
43,0
81,0
370,0
412,0
1165,1
790,1
217,0
987,1
436,0
1235,1
268,0
733,0
1255,1
515,0
856,1
963,1
1114,1
253,0
538,0
261,0
143,0
259,0
0,0
695,0
314,0
284,0
932,1
798,1
996,1
1039,1
126,0
1032,1
1296,1
433,0
420,0
645,0
344,0
1195,1
741,0
1360,1
643,0
325,0
917,1
1176,1
129,0
560,0
444,0
162,0
1201,1
868,1
218,0
157,0
